ID	A17MB	A17FB	A16MB	A15MB	A15FB	A12FB	A10MB	A10FB	A8MB
TRINITY_DN84755_c0_g1_i1	1	39	1	1	6	42	4	11	0
TRINITY_DN120032_c0_g8_i1	2.56676	0	0	0	0	14.3814	0	0	0
TRINITY_DN102260_c0_g1_i2	28	29	14	39	16	20	23	24	30
TRINITY_DN122829_c0_g1_i1	21.1572	0	18.6523	0	0	0	25.5472	21.9406	0
TRINITY_DN118840_c1_g2_i1	0	0	2.5	0	0	5	0	0.5	0
TRINITY_DN109714_c0_g1_i1	38	63	51	86	55	58	46	37	37
TRINITY_DN118647_c0_g1_i1	1216.69	968.528	1274.47	1860.61	1021.88	1107.65	1130.29	1203.3	940
TRINITY_DN198348_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN128829_c3_g1_i1	58	70	23	66	53	51	46	62	37
TRINITY_DN47580_c0_g1_i1	0	0	2	0	0	1	0	0	0
TRINITY_DN207593_c0_g1_i1	6	3	4	13	5	7	4	2	3
TRINITY_DN128345_c0_g1_i1	344	245	181	476	219	257	285	249	379
TRINITY_DN73782_c0_g2_i1	0	7	0	0	2	13	0	6	0
TRINITY_DN64613_c0_g2_i1	38	52	64	84	29	38	43	43	44
TRINITY_DN122006_c0_g2_i1	77	231	183	192	128	149	135	88	95
TRINITY_DN116621_c0_g1_i2	1149	1344	1418	2020	1195	1179	1526	1574	1310
TRINITY_DN101064_c0_g1_i2	6.21663	8.08208	3.39483	5.50188	13.638	5.53027	3.66115	4.33316	6.91219
TRINITY_DN129842_c2_g9_i1	0	0	0	0	0	1	1.27428	0	0
TRINITY_DN118241_c1_g1_i2	52	38	49	142	23	56	51	93	63
TRINITY_DN113880_c0_g5_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN67944_c0_g1_i1	7	3	3	10	1	2	3	0	2
TRINITY_DN127403_c1_g4_i1	103	131	57	184	68	92	91	72	93
TRINITY_DN128523_c1_g1_i1	68.0708	64.2282	95.1013	235.254	130.13	76.174	115.342	94	157
TRINITY_DN130826_c2_g1_i1	354	338	245	432.644	174	315	286.711	244	318.165
TRINITY_DN143363_c0_g1_i1	0	7.51785	19.2446	12.896	4.5175	5.4363	3.38662	5.41819	1.29387
TRINITY_DN134065_c2_g4_i8	0	0	10	3	3	0	17.2207	3	1
TRINITY_DN8027_c0_g1_i1	0	2	0	0	0	11	0	1	0
TRINITY_DN125312_c0_g4_i1	27	41	55	59	32	35	46	40	60
TRINITY_DN201146_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN131827_c1_g1_i2	238	302	308	540	356	268	135	191	198
TRINITY_DN215099_c0_g1_i1	0	2	0	0	2	7	0	3	0
TRINITY_DN93769_c0_g1_i1	1	4	5	0	26	4	8	6	17
TRINITY_DN134975_c1_g1_i2	2849	3415	2676	5594	3001	3311	2776	2424	2808
TRINITY_DN122638_c0_g1_i2	7613	5595	7126	13768	5811	5258	6044	4105	4610
TRINITY_DN45969_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN124121_c0_g2_i10	0	3	0	1	1	0	0	2	0
TRINITY_DN130860_c4_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN106256_c0_g2_i1	0	0	0	0	0	0	0	2.06467	0
TRINITY_DN127737_c0_g1_i1	61	43	34	103	60	48	74	36	46
TRINITY_DN156295_c0_g1_i1	1	2	0	0	2	0	1	0	3
TRINITY_DN96640_c0_g1_i1	0	0	1	0	1	0	1	0	0
TRINITY_DN44191_c0_g1_i1	2	3	1	4.64702	0	1	3	3	4.0782
TRINITY_DN125138_c7_g4_i2	127	162	157	277	152	155	167	292	248
TRINITY_DN53850_c0_g1_i1	6	10	3	7	5	7	9	6	6
TRINITY_DN183704_c0_g1_i1	21	8	9	17.7349	16.3498	5	15.4322	3.10813	13.018
TRINITY_DN62519_c0_g1_i1	0	1	0	3	1	2	3	4	0
TRINITY_DN216759_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN133410_c0_g1_i1	13	9.36663	0	9	4.66612	6	7.12522	9	9
TRINITY_DN55098_c0_g1_i1	0	46	0	0	9	51	5	17	0
TRINITY_DN128170_c6_g1_i2	57.9496	77.2183	36.9861	84.4966	45.3827	50.2136	46.3829	36.2776	83.5689
TRINITY_DN125720_c1_g1_i1	0	0	0	0	0	0	0	1	1
TRINITY_DN28586_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN115937_c0_g1_i1	165	161	201	397	166	171	197	212	221
TRINITY_DN197129_c0_g1_i1	0	1	2	3	0	5	0	0	1
TRINITY_DN139750_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN194557_c0_g1_i1	10	20.2321	3	6.06141	11	4	4	2	5
TRINITY_DN215282_c0_g1_i1	0	15	0	0	1	14	0	3	0
TRINITY_DN151117_c0_g1_i1	40	43	46	60	49	22	29	62	29
TRINITY_DN208445_c0_g1_i1	0	8	0	0	0	14	1	2	0
TRINITY_DN51418_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN55979_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN118908_c1_g2_i2	87	48	48	123	60	50	82	74	87
TRINITY_DN130746_c0_g1_i3	222	324	298	520	164	246	264	223	208
TRINITY_DN112488_c0_g2_i1	1	4	0	3	1	0	3	0	3
TRINITY_DN133926_c0_g1_i1	141	129	115	220	132	128	122	79	123
TRINITY_DN125270_c0_g3_i2	71	69	80	152	49	82	66	67	74
TRINITY_DN150754_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN94680_c0_g1_i1	0	13	0	0	3	12	0	0	0
TRINITY_DN128395_c2_g1_i1	31	28	17.3822	47	20	22	22	20	12
TRINITY_DN128455_c8_g1_i4	327	296	206	503	252	182	232	180	260
TRINITY_DN146326_c0_g1_i1	0	10	0	0	1	11	1	4	0
TRINITY_DN168364_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN134468_c2_g4_i3	269	53	91	258	97	108	91	42	120
TRINITY_DN132833_c0_g2_i8	0	56	0	222	4	2	7	2	167
TRINITY_DN213661_c0_g1_i1	1	4	13	13	9	9	3	7	8
TRINITY_DN40679_c0_g1_i1	0	0	1.01014	4	2	0	0	0	1.00808
TRINITY_DN121893_c0_g1_i6	1129	881	592	1574	875	902	1180	1126	1157
TRINITY_DN135683_c1_g3_i4	51.8541	58.2489	50.1664	81.3398	44.3225	55.1873	67.7051	37.0111	53.7804
TRINITY_DN104226_c0_g1_i1	10	6	6	1	2	3	8	6	3
TRINITY_DN132832_c1_g6_i1	74.1636	93.4609	60.1411	120.947	85.108	84.1253	45.6139	64.5502	65.9424
TRINITY_DN134002_c4_g2_i1	0	0	1	0	1	2	0	0	0
TRINITY_DN131272_c0_g3_i1	219	253	184	321	183	184	208	183	186
TRINITY_DN105561_c0_g1_i1	221	223	142	270	129	172	207	198	172
TRINITY_DN122766_c0_g1_i1	1	0	0	0	1	0	0	0	0
TRINITY_DN86506_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN75589_c0_g1_i1	1	0	0	0	0	0	1	1	0
TRINITY_DN53414_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN84481_c0_g4_i1	0	9	0	0	3	13	0	1	0
TRINITY_DN113040_c0_g2_i2	9	0	4	34.0208	9	8	19	3	5
TRINITY_DN127703_c4_g1_i3	14	16	12	29	28.6443	16	9	22	11
TRINITY_DN133706_c1_g2_i1	0	1	1	2	0	4	0	1	2
TRINITY_DN207717_c0_g1_i1	0	3	2	1	0	1	0	0	0
TRINITY_DN119077_c0_g1_i1	6	1	2	29	3	5	2	13	9
TRINITY_DN6360_c0_g1_i1	0	1	0	0	1	1	1	3	1
TRINITY_DN158608_c0_g1_i1	10	20	5	13	5	9	8	7	6
TRINITY_DN84957_c0_g2_i1	19	22	7	28	14	21	9	6	11
TRINITY_DN130519_c0_g1_i1	23.9	58.4209	31.0278	142.915	46.8637	0	70.9578	66.7704	29.0422
TRINITY_DN23199_c0_g2_i1	1	60	1	0	17	70	3	27	0
TRINITY_DN165407_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN164890_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN135770_c7_g1_i5	987	1169	1131	1616	903	868	1191	985	1025
TRINITY_DN122730_c1_g2_i5	4811	3954	3892	7925	4313	4480	4846	4243	4893
TRINITY_DN132860_c0_g2_i7	4	5.26553	3	3	1	0	0	0	6.30109
TRINITY_DN127160_c8_g5_i1	319	489	382	751	409	353	406	322	419
TRINITY_DN20505_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN153595_c0_g1_i1	0	17	0	0	5	10	0	5	0
TRINITY_DN124778_c3_g6_i1	40	0	0	20	42	5	79	8	19
TRINITY_DN122815_c3_g1_i4	18152.3	15358.8	19285.4	36072.9	15138.1	17514.5	24409.8	26413.8	26168.4
TRINITY_DN211347_c0_g1_i1	0	8	0	0	2	9	2	4	0
TRINITY_DN133194_c0_g4_i4	42.7734	28.5342	43.5017	88.423	34.0405	34.8944	71.2972	33.6267	53.4726
TRINITY_DN15980_c0_g1_i1	0	15	0	0	6	21	1	11	0
TRINITY_DN126862_c0_g1_i6	42	37	48	119	51	43	50	48	48
TRINITY_DN98068_c0_g4_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN184477_c0_g1_i1	0	1	0	0	1	2	0	1	0
TRINITY_DN100127_c0_g1_i1	0	5	1	3	1	1	0	3	3
TRINITY_DN155342_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN41443_c0_g1_i1	0	11	0	0	3	15	0	6	0
TRINITY_DN85600_c0_g1_i1	29	14	9	36	14	16	17	3	17
TRINITY_DN180723_c0_g1_i1	4	5	9.65383	3.90212	0	14.704	5	8.0524	1.75764
TRINITY_DN134468_c2_g2_i4	428	1016	692	1572	824	826	542	479	529
TRINITY_DN52326_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN125938_c4_g1_i6	1080.29	1002.53	901.031	1889.63	888.259	1024.07	831.63	689.321	766.224
TRINITY_DN136412_c0_g6_i2	15.5993	14.8088	14.3072	23.8451	12.0932	25.8405	34.4344	28.6008	74.7175
TRINITY_DN130586_c6_g1_i1	181	169	104	304	136	164	135	127	111
TRINITY_DN109242_c0_g2_i1	99	156	146	251	124	159	229	240	182
TRINITY_DN103838_c0_g1_i1	55	9	10	6	10	16	9	9	4
TRINITY_DN119294_c0_g1_i1	254.303	322.508	223.25	390.427	238.36	239.209	235.102	270.166	280.124
TRINITY_DN129726_c5_g1_i1	30.089	39.6269	28	51	23	40	43	34	50.7204
TRINITY_DN130128_c0_g2_i1	383.525	325.558	336	713.924	346.098	338.495	380	421	408.222
TRINITY_DN131709_c1_g1_i1	125.074	171.084	107	195	149.094	116.057	133	161.258	165
TRINITY_DN49727_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN131360_c0_g2_i1	1	0	2	3	0	0	1	1	4
TRINITY_DN70531_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN34632_c0_g1_i1	0	8.72179	0	0	0	31.0505	0	0	0
TRINITY_DN95701_c0_g1_i1	207	202	179	275	122	216	177	163	204
TRINITY_DN122247_c0_g9_i1	29.3706	16.128	18.6838	41.721	13.3801	20.3836	24.2517	17.5255	17.3724
TRINITY_DN120851_c5_g1_i1	199.412	263.453	162.785	425	210	149.35	186	130.327	216.402
TRINITY_DN133451_c6_g3_i2	55.3379	89.315	45.5998	129.835	64.3687	69.1286	75.0978	91.4487	97.8157
TRINITY_DN84845_c0_g3_i1	0	19	0	0	6	14	2	8	0
TRINITY_DN106515_c0_g1_i1	17	1	43	32	4	0	0	4	0
TRINITY_DN184550_c0_g1_i1	64	61	60	113	59	61	67	39	37
TRINITY_DN134542_c0_g2_i1	71	49	46	78	57	56	53	59	88
TRINITY_DN41762_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN120841_c0_g1_i1	292	200	183	396	227	220	193	203	267
TRINITY_DN136096_c1_g2_i1	60	62	25	81	38	34	44	66	48
TRINITY_DN153265_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN139554_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN125052_c1_g2_i1	280	261	249	520	243	227	304	251	282
TRINITY_DN91175_c0_g1_i1	1	3	2	9	0	0	2	3	1
TRINITY_DN63962_c0_g1_i1	4	0	2	9	3	4	10	1	3
TRINITY_DN132852_c1_g1_i1	7	1	12	22	17	5	11	1	13
TRINITY_DN118855_c1_g1_i1	143.401	180.143	185	320.219	155.748	159	138.275	98.5174	116.074
TRINITY_DN129987_c0_g2_i1	0	1.32036	0	1.43969	4.2358	2.58798	1.47616	1.34668	2.1917
TRINITY_DN146169_c0_g1_i1	0	9	0	0	2	7	0	3	0
TRINITY_DN79312_c0_g1_i1	95.2102	129	131.282	232.851	115.612	118.313	120.471	142.89	122.278
TRINITY_DN126706_c5_g3_i1	1468.81	1316.39	816.886	2109.11	1087.83	1167.13	1101.13	1028.65	1011.26
TRINITY_DN124742_c0_g1_i2	241.03	377.961	247.518	318.098	197.099	245.215	176.93	241.609	197.206
TRINITY_DN58828_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN131841_c0_g2_i1	239	153	90	225	120	126	168	155	181
TRINITY_DN133994_c5_g2_i2	12	22	12	28.6968	15.6155	18.0068	18.7163	18.5613	15.6468
TRINITY_DN78090_c0_g1_i1	0	23	0	0	7	31	0	5	0
TRINITY_DN132901_c0_g1_i2	85.4591	116.311	54.4453	148.252	163.366	67.437	178.906	148.974	210.611
TRINITY_DN120511_c0_g1_i3	526.116	655.903	412.72	923.2	487.833	515.133	548.084	515.333	575.936
TRINITY_DN124854_c0_g1_i5	30	46	18.6108	58.6498	44.9527	32.9361	27	21	37
TRINITY_DN129226_c1_g1_i1	299.323	180.721	273.894	535.036	188.288	174.041	199.044	139.622	200.616
TRINITY_DN197324_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN96905_c0_g3_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN210868_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN131317_c0_g2_i1	109	194	161	237	155	141	108	123	103
TRINITY_DN37248_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN135426_c4_g1_i1	0	0	4.50653	0	0	0	0	2.18872	26.4005
TRINITY_DN76317_c0_g1_i1	0	1	0	4	7	5	1	2	2
TRINITY_DN141341_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN135450_c1_g2_i4	5	17	1	9	7	8	6	4	4
TRINITY_DN130203_c0_g1_i1	260	336	322	432	394	311	303	179	183
TRINITY_DN118512_c0_g2_i1	198	199	265	313	165	176	240	218	233
TRINITY_DN126431_c0_g3_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN129984_c0_g2_i5	1	8	6.00319	8.0019	8.00135	4.00067	6.00272	9.00208	9.00157
TRINITY_DN130296_c4_g3_i2	5	13	5	5	12	3	5	13	3
TRINITY_DN117575_c0_g6_i1	84	85	64	106	77	90	78	98	102
TRINITY_DN199329_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN114496_c0_g1_i1	521	504	335	653	374	367	404	397	395
TRINITY_DN137962_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN64704_c0_g1_i1	0	15	0	0	2	19	1	5	0
TRINITY_DN62385_c0_g2_i1	210.495	170.509	125.527	339.067	11.409	183.077	240.119	142.978	140.421
TRINITY_DN131885_c2_g2_i1	473.363	434.938	325	634.505	385.821	392.53	244.629	255.253	324.448
TRINITY_DN16112_c0_g2_i1	78.2003	75.2978	85.3515	136.616	62.6763	82.2698	63.4033	75.5596	45.0342
TRINITY_DN111942_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN96603_c0_g1_i3	13	28	10	35	4	11	19	13	18
TRINITY_DN133357_c2_g4_i1	0	0	0	2	4	7	0	3	12
TRINITY_DN131660_c2_g1_i2	368	256	148	350	222	210	245	250	220
TRINITY_DN125251_c3_g1_i1	106.612	101.474	28.6436	113.624	82.2897	83.3509	70.7797	63.6686	79.4631
TRINITY_DN133950_c2_g4_i1	11.2722	3.13935	2.122	0	0	1.19823	1.02815	1.08989	1.19853
TRINITY_DN123133_c0_g1_i1	199	170	195	310	204	174	255.29	181	178.239
TRINITY_DN130365_c0_g1_i1	252	201	332	478	219	238	427	268	341
TRINITY_DN127175_c5_g6_i1	3.48362	0	1.15428	2.7985	2.20763	0	2.42912	1.68454	1.16672
TRINITY_DN131211_c4_g3_i2	10	12	6	22	27	12	11	18	17
TRINITY_DN45013_c0_g1_i1	0	2	2	1	1	0	1	1	1
TRINITY_DN126389_c1_g1_i1	428	670	599	529	348	355	783	472	618
TRINITY_DN134499_c1_g7_i2	423	333	226	499	272	287	260	312	305
TRINITY_DN129836_c0_g2_i1	25	12	6	54	37	18	12	14	9
TRINITY_DN131033_c4_g4_i2	1334	1733	1291	3563	1510	1587	1372	1032	2028
TRINITY_DN105687_c0_g2_i1	3.36006	5.95338	6.67437	85.856	17.5717	0	10.1595	28.2911	90.8055
TRINITY_DN133536_c2_g4_i1	1	3	2	0	1	2	4	3	4.04574
TRINITY_DN192324_c0_g1_i1	7.26477	0	0	4	0	0	4	3	2
TRINITY_DN78862_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN130077_c0_g1_i1	48	50	51	105	46	52	43	38	53
TRINITY_DN130607_c2_g1_i1	892.428	815.217	804.514	1297.21	657.283	748.759	852.157	652.38	696.409
TRINITY_DN126992_c1_g9_i4	51	57	73	68	30	34	38	41	39
TRINITY_DN15070_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN90795_c0_g1_i1	0	0	1	1	0	0	2	0	1
TRINITY_DN134567_c2_g2_i1	602	1007	543	1347	678	780	599	382	491
TRINITY_DN211338_c0_g1_i1	2	2	5	1	3	6	3	6	2
TRINITY_DN155176_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN44060_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN194432_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN127009_c1_g1_i3	30.001	25	26	62	13	26	42	24	41
TRINITY_DN130215_c0_g1_i5	28	49	37	59	39	30	33	19	36
TRINITY_DN135725_c0_g1_i4	815.537	743	697.418	1504.08	774.12	787	781.338	683.445	862.039
TRINITY_DN114153_c0_g6_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN126537_c2_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN209082_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN190836_c0_g1_i1	0	12	0	0	4	11	2	1	0
TRINITY_DN114653_c0_g2_i1	778	1098	1308	1861	853	913	1529	1155	1059
TRINITY_DN210257_c0_g1_i1	3	3	1	7	6	7	3	4	4
TRINITY_DN47554_c0_g1_i1	2	1	1	6	1	0	1	0	0
TRINITY_DN130616_c1_g1_i3	108	148	123	179	117	87	125	65	123
TRINITY_DN10971_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN201343_c0_g1_i1	1	3	0	0	0	1	0	0	0
TRINITY_DN128236_c0_g1_i1	110	135	69	118	50	110	81	87	97
TRINITY_DN115461_c0_g1_i2	827	1077	1165	1674	882	931	1299	1273	859
TRINITY_DN170450_c0_g2_i1	5	7	8	16	6	5	16	7	12
TRINITY_DN121166_c4_g2_i4	41	24	35	48	15	32	17	15	26
TRINITY_DN125469_c1_g4_i2	505	689	833	1101	623	692	617	610	476
TRINITY_DN135432_c0_g3_i1	7	13	17	5	17	10	16	16	8
TRINITY_DN128960_c0_g1_i1	621	618	552	1180	589	598	508	458	578
TRINITY_DN104112_c0_g1_i1	1	0	0	2	0	0	0	3	1
TRINITY_DN210367_c0_g1_i1	0	18	0	0	1	9	2	6	0
TRINITY_DN33637_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN211854_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN197249_c0_g1_i1	0	0	0	2	0	0	0	0	0
TRINITY_DN189404_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN62311_c0_g1_i1	0	14	0	0	1	14	2	4	0
TRINITY_DN86816_c0_g1_i1	2.36937	4.56606	2.30299	2.35034	0	0	0	2.40216	11.3549
TRINITY_DN108121_c0_g2_i1	2	5	1	1	2	5	1	1	1
TRINITY_DN67854_c0_g1_i1	15	12	6	19	8	8	1	7	7
TRINITY_DN124336_c0_g2_i1	269	290	290	636	420	455	226	202	349
TRINITY_DN134052_c2_g5_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN148426_c0_g1_i1	11	4	1	0	3	1	9	3	1
TRINITY_DN49226_c0_g2_i1	1	6	1	9	2	1.75	4	4	7
TRINITY_DN74882_c0_g1_i1	16	12	13	22	16	17	22	17	12
TRINITY_DN117692_c0_g1_i3	0	0	0	1	0	0	0	0	0
TRINITY_DN68590_c0_g3_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN96150_c0_g1_i2	0	0	0	0	0	0	0	0	0
TRINITY_DN128606_c2_g13_i11	6711	6901	5235	11998	5420	5989	5837	5259	6791
TRINITY_DN194001_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN189823_c0_g1_i1	0	22	0	0	4	18	2	3	0
TRINITY_DN151768_c0_g1_i1	0	0	0	1	0	2	0	0	1
TRINITY_DN22112_c0_g1_i1	634.244	536.282	529.735	1175.72	506.915	656.678	570.622	543.12	750.361
TRINITY_DN135869_c1_g3_i2	292	423.228	304.249	668	304	302	361	318	341
TRINITY_DN127547_c1_g4_i1	153	155	127	328	194	156	124	122	143
TRINITY_DN13726_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN151574_c0_g1_i1	0	3	0	0	0	0	0	0	1
TRINITY_DN66752_c0_g1_i1	1	13	0	0	1	15	0	1	0
TRINITY_DN157677_c0_g1_i1	0	0	0	0	1	0	0	0	0
TRINITY_DN129955_c4_g1_i2	204	347.826	127	265	131	196.783	225	131	179
TRINITY_DN85329_c0_g1_i1	0	1	1	0	1	2	0	0	0
TRINITY_DN23242_c0_g1_i1	1	2	0	6	2	0	0	0	1
TRINITY_DN97524_c0_g3_i1	8	2	5	4	1	0	3	0	8
TRINITY_DN140739_c0_g1_i1	0	12	0	0	6	14	1	5	0
TRINITY_DN185609_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN121884_c0_g2_i1	336	509.616	386.804	573.232	399.027	268	251.562	243.426	184
TRINITY_DN141059_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN102429_c0_g1_i2	92	106	57	119	26	75	57	100	92
TRINITY_DN131191_c4_g2_i6	27	108	67	154	86	78	83	108	121
TRINITY_DN52854_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN133016_c0_g1_i1	1663	1595	1449	2664	1827	1557	1658	1549	1453
TRINITY_DN180821_c0_g1_i1	0	7	0	0	1	12	1	2	0
TRINITY_DN187883_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN181856_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN128710_c0_g3_i2	17	8	5	20	15	14	9	125	132
TRINITY_DN112375_c0_g2_i2	17	16	24	43	17	15	23	9	24
TRINITY_DN123922_c5_g1_i1	0	13	0	1	3	20	2	3	0
TRINITY_DN121870_c0_g1_i1	1880	2107	2451	3609	1480	1671	2674	1684	2100
TRINITY_DN136313_c8_g4_i2	112	136	77	345	131	127	109	132	227
TRINITY_DN135272_c6_g2_i2	99	116	39	164	83	85	99	100	99
TRINITY_DN63095_c0_g1_i1	82	146	141	228	138	147	186	301	123
TRINITY_DN151008_c0_g1_i1	1	0	0	0	1	1	0	0	0
TRINITY_DN121204_c8_g2_i1	2	1	3	6	4	2	4	5	2
TRINITY_DN70925_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN60900_c0_g1_i1	6	2	2	7	6	7	5	3	3
TRINITY_DN101437_c0_g1_i1	284	417	468	593	363	390	430	453	388
TRINITY_DN131908_c4_g1_i2	114.684	106.432	69.2832	170.36	77.8457	64.1983	85.7478	79	108.396
TRINITY_DN123462_c3_g2_i2	11.0546	8.56258	14.6435	36.4468	21.9184	29.7004	12.7088	12.0877	26.7274
TRINITY_DN133121_c2_g3_i1	4	6	8	0	0	11	0	2	0
TRINITY_DN141692_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN51528_c0_g1_i1	0	6	0	0	1	13	1	0	0
TRINITY_DN142936_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN136352_c5_g5_i4	0	4	12	4	5	3	2	2	3
TRINITY_DN124656_c2_g1_i8	324.197	371.208	198.807	450.434	252.46	265.298	341.742	281.231	364.758
TRINITY_DN132689_c3_g2_i8	1453	1425	1181	2684	1447	1353	1380	1365	1738
TRINITY_DN69331_c0_g1_i1	4	2	6	2	0	7	2	1	2
TRINITY_DN125713_c0_g2_i1	1.49811	0	0	0	4	0	0	0	6
TRINITY_DN102369_c0_g1_i1	3.31852	4	6	7.85879	1.65293	7.358	3	1.583	0
TRINITY_DN117575_c0_g2_i1	30	181	61	321	271	181	212	124	172
TRINITY_DN135549_c0_g1_i3	142	168	150	252	115	139.396	93	91	107
TRINITY_DN116332_c0_g7_i1	0	0	0	0	37.5987	18.9685	0	0	0
TRINITY_DN123748_c0_g1_i1	30	70	45	45	34	37	38	31	42
TRINITY_DN119160_c0_g2_i1	7	6	3	8	7	8	11	11	9
TRINITY_DN110382_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN194281_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN68759_c0_g1_i1	0	17	0	0	5	22	4	17	0
TRINITY_DN121273_c0_g2_i1	69	108	39	81	41	53	163	16	73
TRINITY_DN208032_c0_g1_i1	0	1	1	2	2	2	0	2	6
TRINITY_DN95912_c0_g1_i1	13	24	18	25	5	25	18	17	10
TRINITY_DN164762_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN121443_c0_g1_i2	631.656	993.671	838.528	1042.23	553	894.362	647.154	741.837	717.562
TRINITY_DN131217_c3_g5_i1	15	7.46851	14.285	30.9502	23.6615	4.2745	7.3153	6	20.674
TRINITY_DN208526_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN128901_c2_g1_i7	2	0	1	7	0	2	14	7	0
TRINITY_DN99125_c0_g1_i2	111	136	86	197	110	119	139	122	108
TRINITY_DN50921_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN136765_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN128500_c0_g1_i1	1425	1626	1179	2447	1244	1311	1464	1388	1722
TRINITY_DN135181_c2_g2_i6	110.536	160.392	154.704	190.565	125.835	117.442	140	109.881	146.894
TRINITY_DN120842_c0_g1_i1	202	227	194	336	185	180	254	279	164
TRINITY_DN134440_c3_g10_i1	2	5.17829	2.22783	8.92283	1.09033	3.21459	8.2876	1	1.19029
TRINITY_DN84060_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN120060_c1_g1_i1	63	81	33	70	48	46	29	34	47
TRINITY_DN54783_c0_g1_i1	8	4	15	4	11	12	12	11	8
TRINITY_DN115215_c0_g1_i1	18.5817	40.053	20.151	36.9708	13.5472	22.5377	27.7649	13.2274	28.7331
TRINITY_DN168904_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN136647_c5_g1_i1	0	1	0	0	0	0	1	0	2
