gid	female	log2meanXX	cutoff
TRINITY_DN135280_c4_g2_i1	meanfemale	6.128426196	FC1
TRINITY_DN115310_c0_g1_i2	meanfemale	3.097190872	FC1
TRINITY_DN126559_c1_g4_i2	meanfemale	7.231058463	FC1
TRINITY_DN122526_c0_g1_i6	meanfemale	2.066507404	FC1
TRINITY_DN131927_c5_g1_i2	meanfemale	3.442340973	FC1
TRINITY_DN114642_c0_g1_i2	meanfemale	4.613003132	FC1
TRINITY_DN117568_c0_g1_i2	meanfemale	4.003007459	FC1
TRINITY_DN123184_c1_g4_i1	meanfemale	3.030200367	FC1
TRINITY_DN118297_c0_g2_i1	meanfemale	4.823823049	FC1
TRINITY_DN133650_c1_g3_i5	meanfemale	2.947515283	FC1
TRINITY_DN122173_c0_g1_i1	meanfemale	4.562196964	FC1
TRINITY_DN129519_c3_g2_i1	meanfemale	3.238826374	FC1
TRINITY_DN125563_c4_g2_i4	meanfemale	3.554431074	FC1
TRINITY_DN130288_c1_g2_i1	meanfemale	3.525131788	FC1
TRINITY_DN109823_c0_g1_i2	meanfemale	0.915805589	FC1
TRINITY_DN126577_c0_g1_i1	meanfemale	4.499220724	FC1
TRINITY_DN130962_c1_g2_i12	meanfemale	2.604072991	FC1
TRINITY_DN116819_c1_g1_i1	meanfemale	4.177456944	FC1
TRINITY_DN134366_c0_g1_i3	meanfemale	1.518400532	FC1
TRINITY_DN129177_c1_g2_i1	meanfemale	2.042227424	FC1
TRINITY_DN107602_c0_g3_i1	meanfemale	5.217785278	FC1
TRINITY_DN131474_c0_g1_i2	meanfemale	3.274780943	FC1
TRINITY_DN118981_c0_g2_i3	meanfemale	3.213974035	FC1
TRINITY_DN127633_c0_g1_i1	meanfemale	4.94282774	FC1
TRINITY_DN122382_c0_g1_i1	meanfemale	5.406146448	FC1
TRINITY_DN118390_c0_g2_i2	meanfemale	2.969066115	FC1
TRINITY_DN131298_c0_g1_i1	meanfemale	0.766644101	FC1
TRINITY_DN118609_c0_g1_i1	meanfemale	4.853227148	FC1
TRINITY_DN130994_c0_g1_i1	meanfemale	2.619664247	FC1
TRINITY_DN125389_c0_g4_i1	meanfemale	1.765337663	FC1
TRINITY_DN130083_c2_g6_i1	meanfemale	5.156695496	FC1
TRINITY_DN128983_c1_g1_i5	meanfemale	4.966946562	FC1
TRINITY_DN135782_c2_g2_i3	meanfemale	5.185837773	FC1
TRINITY_DN118673_c0_g1_i1	meanfemale	6.550413804	FC1
TRINITY_DN133214_c1_g4_i1	meanfemale	4.800200491	FC1
TRINITY_DN113238_c0_g1_i1	meanfemale	6.278025258	FC1
TRINITY_DN125252_c3_g1_i3	meanfemale	4.947876856	FC1
TRINITY_DN134161_c5_g2_i3	meanfemale	2.77560977	FC1
TRINITY_DN131684_c1_g1_i2	meanfemale	1.999753742	FC1
TRINITY_DN133301_c2_g3_i5	meanfemale	3.257258456	FC1
TRINITY_DN128913_c0_g3_i1	meanfemale	3.013714311	FC1
TRINITY_DN124463_c0_g2_i3	meanfemale	5.016775164	FC1
TRINITY_DN74831_c0_g1_i1	meanfemale	6.163175502	FC1
TRINITY_DN129463_c4_g4_i2	meanfemale	1.954519998	FC1
TRINITY_DN126422_c1_g1_i4	meanfemale	2.74645077	FC1
TRINITY_DN128427_c0_g2_i2	meanfemale	4.605427895	FC1
TRINITY_DN133473_c0_g7_i11	meanfemale	2.872798802	FC1
TRINITY_DN126374_c0_g1_i1	meanfemale	5.785250763	FC1
TRINITY_DN117293_c0_g1_i1	meanfemale	5.181994663	FC1
TRINITY_DN129163_c6_g2_i4	meanfemale	2.017525577	FC1
TRINITY_DN128185_c0_g1_i9	meanfemale	4.49995651	FC1
TRINITY_DN124109_c0_g2_i3	meanfemale	5.480043137	FC1
TRINITY_DN126029_c0_g1_i2	meanfemale	2.120285359	FC1
TRINITY_DN125598_c6_g10_i1	meanfemale	2.381413586	FC1
TRINITY_DN125997_c0_g3_i2	meanfemale	4.326798128	FC1
TRINITY_DN132128_c1_g1_i4	meanfemale	2.834759323	FC1
TRINITY_DN132703_c8_g1_i1	meanfemale	2.207027624	FC1
TRINITY_DN208442_c0_g1_i1	meanfemale	2.333333785	FC1
TRINITY_DN134844_c0_g1_i1	meanfemale	2.768498696	FC1
TRINITY_DN135417_c3_g1_i1	meanfemale	4.611919566	FC1
TRINITY_DN129334_c0_g3_i1	meanfemale	1.842546995	FC1
TRINITY_DN113807_c0_g1_i1	meanfemale	4.057846298	FC1
TRINITY_DN119779_c0_g2_i3	meanfemale	5.273679044	FC1
TRINITY_DN167771_c0_g1_i1	meanfemale	2.879418322	FC1
TRINITY_DN116251_c1_g3_i1	meanfemale	1.223152059	FC1
TRINITY_DN120757_c0_g1_i1	meanfemale	5.903459459	FC1
TRINITY_DN125252_c4_g6_i1	meanfemale	3.043014602	FC1
TRINITY_DN132305_c3_g3_i2	meanfemale	4.907571924	FC1
TRINITY_DN104383_c0_g4_i1	meanfemale	0.571413489	FC1
TRINITY_DN129939_c4_g1_i15	meanfemale	1.88987165	FC1
TRINITY_DN125960_c1_g1_i3	meanfemale	2.485909458	FC1
TRINITY_DN132817_c1_g1_i3	meanfemale	0.751765138	FC1
TRINITY_DN128356_c6_g1_i1	meanfemale	1.54030567	FC1
TRINITY_DN130776_c1_g1_i1	meanfemale	4.869658012	FC1
TRINITY_DN130635_c0_g1_i10	meanfemale	5.995184522	FC1
TRINITY_DN135364_c0_g4_i2	meanfemale	-0.260703207	FC1
TRINITY_DN131451_c3_g1_i4	meanfemale	8.252471538	FC1
TRINITY_DN130614_c2_g1_i1	meanfemale	1.445024716	FC1
TRINITY_DN124280_c3_g2_i1	meanfemale	3.229746979	FC1
TRINITY_DN113887_c0_g1_i1	meanfemale	5.256649814	FC1
TRINITY_DN135433_c1_g5_i1	meanfemale	4.270911061	FC1
TRINITY_DN127175_c5_g2_i1	meanfemale	5.127326823	FC1
TRINITY_DN122435_c0_g1_i2	meanfemale	3.404814438	FC1
TRINITY_DN23317_c0_g1_i1	meanfemale	1.888118989	FC1
TRINITY_DN125304_c0_g1_i1	meanfemale	3.682633274	FC1
TRINITY_DN134955_c0_g2_i1	meanfemale	2.531698415	FC1
TRINITY_DN117571_c0_g1_i1	meanfemale	3.905986994	FC1
TRINITY_DN125761_c2_g2_i1	meanfemale	4.001515876	FC1
TRINITY_DN119657_c0_g1_i3	meanfemale	4.382531684	FC1
TRINITY_DN121196_c0_g1_i2	meanfemale	1.08609635	FC1
TRINITY_DN129218_c0_g1_i9	meanfemale	3.794298804	FC1
TRINITY_DN130625_c3_g1_i1	meanfemale	1.364866543	FC1
TRINITY_DN127279_c1_g1_i2	meanfemale	2.246294989	FC1
TRINITY_DN124579_c0_g1_i3	meanfemale	2.532098659	FC1
TRINITY_DN131763_c0_g1_i1	meanfemale	2.97884003	FC1
TRINITY_DN131519_c3_g2_i3	meanfemale	0.17068673	FC1
TRINITY_DN120991_c0_g2_i2	meanfemale	4.874927572	FC1
TRINITY_DN126161_c0_g2_i4	meanfemale	5.224236969	FC1
TRINITY_DN131867_c1_g3_i1	meanfemale	3.354385506	FC1
TRINITY_DN165645_c0_g1_i1	meanfemale	4.358491676	FC1
TRINITY_DN129546_c2_g1_i2	meanfemale	1.89000111	FC1
TRINITY_DN125618_c1_g2_i2	meanfemale	1.546186654	FC1
TRINITY_DN115655_c0_g1_i1	meanfemale	3.910294327	FC1
TRINITY_DN118496_c0_g1_i2	meanfemale	5.542800778	FC1
TRINITY_DN102559_c0_g2_i1	meanfemale	4.308007132	FC1
TRINITY_DN134104_c0_g2_i1	meanfemale	0.642683412	FC1
TRINITY_DN131201_c5_g3_i7	meanfemale	2.295125054	FC1
TRINITY_DN116557_c0_g1_i2	meanfemale	5.146196309	FC1
TRINITY_DN125325_c6_g3_i1	meanfemale	0.859870781	FC1
TRINITY_DN121901_c0_g1_i3	meanfemale	3.987881492	FC1
TRINITY_DN132869_c0_g1_i1	meanfemale	4.40036573	FC1
TRINITY_DN113177_c0_g1_i2	meanfemale	1.710729301	FC1
TRINITY_DN135198_c0_g4_i3	meanfemale	2.316388541	FC1
TRINITY_DN134408_c0_g2_i2	meanfemale	3.982736159	FC1
TRINITY_DN134273_c0_g1_i11	meanfemale	4.896167988	FC1
TRINITY_DN123704_c2_g4_i2	meanfemale	6.036142206	FC1
TRINITY_DN128716_c1_g10_i3	meanfemale	1.471839859	FC1
TRINITY_DN127485_c0_g1_i3	meanfemale	5.365402947	FC1
TRINITY_DN131869_c0_g3_i1	meanfemale	2.703555468	FC1
TRINITY_DN128435_c1_g4_i3	meanfemale	3.025203003	FC1
TRINITY_DN134345_c1_g1_i4	meanfemale	3.158813291	FC1
TRINITY_DN131516_c0_g1_i2	meanfemale	4.380542166	FC1
TRINITY_DN126838_c0_g1_i1	meanfemale	5.536631736	FC1
TRINITY_DN108932_c0_g1_i1	meanfemale	5.705356058	FC1
TRINITY_DN128745_c0_g1_i2	meanfemale	2.206950278	FC1
TRINITY_DN130785_c3_g2_i1	meanfemale	4.521896117	FC1
TRINITY_DN136509_c10_g1_i1	meanfemale	3.428601985	FC1
TRINITY_DN119908_c2_g1_i5	meanfemale	8.48662446	FC1
TRINITY_DN102412_c0_g1_i1	meanfemale	1.534856799	FC1
TRINITY_DN133563_c2_g1_i1	meanfemale	2.681352344	FC1
TRINITY_DN123988_c0_g3_i1	meanfemale	0.762269172	FC1
TRINITY_DN125191_c5_g6_i1	meanfemale	1.144698681	FC1
TRINITY_DN123436_c7_g2_i5	meanfemale	3.350124191	FC1
TRINITY_DN134966_c0_g1_i1	meanfemale	3.457657471	FC1
TRINITY_DN128711_c0_g1_i4	meanfemale	4.826648058	FC1
TRINITY_DN117806_c0_g1_i1	meanfemale	3.348208457	FC1
TRINITY_DN110877_c0_g1_i3	meanfemale	4.757627031	FC1
TRINITY_DN125466_c2_g2_i1	meanfemale	1.365481903	FC1
TRINITY_DN131809_c9_g1_i2	meanfemale	3.292143281	FC1
TRINITY_DN132837_c1_g3_i1	meanfemale	4.02997919	FC1
TRINITY_DN134128_c0_g1_i4	meanfemale	3.110612243	FC1
TRINITY_DN121452_c0_g1_i3	meanfemale	4.971461914	FC1
TRINITY_DN123704_c2_g3_i1	meanfemale	8.442330784	FC1
TRINITY_DN123683_c2_g1_i2	meanfemale	3.773851246	FC1
TRINITY_DN119522_c0_g1_i1	meanfemale	1.589682927	FC1
TRINITY_DN126935_c6_g3_i3	meanfemale	2.623288353	FC1
TRINITY_DN116210_c0_g1_i1	meanfemale	5.384593802	FC1
TRINITY_DN125533_c0_g1_i1	meanfemale	2.289209885	FC1
TRINITY_DN128945_c0_g4_i1	meanfemale	-0.033426656	FC1
TRINITY_DN130227_c9_g1_i1	meanfemale	1.543125362	FC1
TRINITY_DN126394_c1_g1_i1	meanfemale	4.333169272	FC1
TRINITY_DN134944_c4_g2_i1	meanfemale	4.490175152	FC1
TRINITY_DN134131_c1_g1_i1	meanfemale	1.318047413	FC1
TRINITY_DN72899_c0_g1_i1	meanfemale	4.883235153	FC1
TRINITY_DN136344_c2_g1_i1	meanfemale	3.642504077	FC1
TRINITY_DN127536_c1_g1_i1	meanfemale	4.726277128	FC1
TRINITY_DN134309_c0_g1_i3	meanfemale	5.722264319	FC1
TRINITY_DN114713_c0_g1_i1	meanfemale	6.160362644	FC1
TRINITY_DN128276_c0_g1_i2	meanfemale	1.106248824	FC1
TRINITY_DN123418_c0_g1_i3	meanfemale	5.332056754	FC1
TRINITY_DN117387_c0_g1_i3	meanfemale	5.83724544	FC1
TRINITY_DN118297_c0_g1_i1	meanfemale	3.176158656	FC1
TRINITY_DN133212_c3_g1_i1	meanfemale	2.527363616	FC1
TRINITY_DN114931_c0_g1_i1	meanfemale	2.570450293	FC1
TRINITY_DN127238_c0_g1_i2	meanfemale	4.708247906	FC1
TRINITY_DN132336_c0_g1_i3	meanfemale	3.318056728	FC1
TRINITY_DN133247_c2_g5_i5	meanfemale	1.354321089	FC1
TRINITY_DN130861_c0_g1_i1	meanfemale	1.04911744	FC1
TRINITY_DN128225_c1_g1_i1	meanfemale	2.092870873	FC1
TRINITY_DN126069_c0_g1_i1	meanfemale	0.687272468	FC1
TRINITY_DN96639_c0_g1_i2	meanfemale	5.375763346	FC1
TRINITY_DN131265_c3_g5_i1	meanfemale	4.876779467	FC1
TRINITY_DN130138_c1_g1_i1	meanfemale	3.765833075	FC1
TRINITY_DN131033_c3_g1_i5	meanfemale	2.332044264	FC1
TRINITY_DN125254_c0_g1_i1	meanfemale	3.981298375	FC1
TRINITY_DN99900_c0_g1_i1	meanfemale	6.24747887	FC1
TRINITY_DN135785_c0_g3_i16	meanfemale	3.969115038	FC1
TRINITY_DN14300_c0_g2_i1	meanfemale	4.808884955	FC1
TRINITY_DN109252_c0_g1_i2	meanfemale	3.164309872	FC1
TRINITY_DN132510_c5_g3_i1	meanfemale	4.517098113	FC1
TRINITY_DN129198_c1_g3_i1	meanfemale	6.623815666	FC1
TRINITY_DN113911_c0_g2_i1	meanfemale	4.349110936	FC1
TRINITY_DN121031_c1_g3_i1	meanfemale	4.484668373	FC1
TRINITY_DN135339_c0_g1_i3	meanfemale	2.53136429	FC1
TRINITY_DN134014_c0_g1_i2	meanfemale	2.682704569	FC1
TRINITY_DN112501_c0_g1_i7	meanfemale	3.296580522	FC1
TRINITY_DN130591_c1_g6_i2	meanfemale	0.855592211	FC1
TRINITY_DN124065_c0_g1_i1	meanfemale	5.170834945	FC1
TRINITY_DN125325_c6_g2_i2	meanfemale	0.636381589	FC1
TRINITY_DN134152_c0_g1_i1	meanfemale	1.48213078	FC1
TRINITY_DN118487_c0_g2_i2	meanfemale	0.10935209	FC1
TRINITY_DN129190_c3_g1_i1	meanfemale	3.918875859	FC1
TRINITY_DN103526_c0_g1_i1	meanfemale	2.410812598	FC1
TRINITY_DN122146_c0_g1_i1	meanfemale	3.997720339	FC1
TRINITY_DN136200_c5_g6_i1	meanfemale	3.677417838	FC1
TRINITY_DN130050_c7_g2_i1	meanfemale	5.771904811	FC1
TRINITY_DN115118_c0_g1_i1	meanfemale	2.373681242	FC1
TRINITY_DN124410_c0_g4_i3	meanfemale	3.022255587	FC1
TRINITY_DN118479_c0_g1_i1	meanfemale	4.930426512	FC1
TRINITY_DN129069_c0_g2_i1	meanfemale	4.745694707	FC1
TRINITY_DN132872_c5_g3_i5	meanfemale	4.132888934	FC1
TRINITY_DN74851_c0_g1_i1	meanfemale	1.586098763	FC1
TRINITY_DN96624_c0_g3_i2	meanfemale	4.816184176	FC1
TRINITY_DN125643_c0_g1_i3	meanfemale	7.494629141	FC1
TRINITY_DN122469_c0_g1_i1	meanfemale	4.598895145	FC1
TRINITY_DN124967_c2_g1_i1	meanfemale	2.665346198	FC1
TRINITY_DN132914_c0_g1_i2	meanfemale	3.336160207	FC1
TRINITY_DN132390_c0_g2_i1	meanfemale	4.589211475	FC1
TRINITY_DN110842_c0_g1_i2	meanfemale	5.060753021	FC1
TRINITY_DN118372_c0_g3_i1	meanfemale	1.544159049	FC1
TRINITY_DN132840_c3_g2_i1	meanfemale	1.289231679	FC1
TRINITY_DN106464_c0_g2_i1	meanfemale	0.485464728	FC1
TRINITY_DN132069_c0_g1_i2	meanfemale	4.077300095	FC1
TRINITY_DN128804_c0_g1_i2	meanfemale	0.963218042	FC1
TRINITY_DN118878_c0_g2_i1	meanfemale	4.608152983	FC1
TRINITY_DN113561_c0_g1_i1	meanfemale	3.724013104	FC1
TRINITY_DN131686_c3_g2_i3	meanfemale	5.140781681	FC1
TRINITY_DN133956_c3_g2_i4	meanfemale	5.738115045	FC1
TRINITY_DN126359_c3_g1_i4	meanfemale	2.254673025	FC1
TRINITY_DN129081_c0_g1_i1	meanfemale	3.123514136	FC1
TRINITY_DN131600_c6_g13_i2	meanfemale	1.467477828	FC1
TRINITY_DN125342_c0_g1_i4	meanfemale	4.14681741	FC1
TRINITY_DN127332_c0_g1_i7	meanfemale	5.415021579	FC1
TRINITY_DN108450_c0_g4_i1	meanfemale	5.816966433	FC1
TRINITY_DN125305_c3_g2_i1	meanfemale	2.735056345	FC1
TRINITY_DN136052_c0_g2_i1	meanfemale	3.079892519	FC1
TRINITY_DN128742_c10_g1_i1	meanfemale	4.964914243	FC1
TRINITY_DN119655_c0_g1_i2	meanfemale	6.596437865	FC1
TRINITY_DN133788_c2_g1_i1	meanfemale	1.268669365	FC1
TRINITY_DN122974_c0_g2_i2	meanfemale	4.734729176	FC1
TRINITY_DN135691_c1_g1_i3	meanfemale	2.008375377	FC1
TRINITY_DN134499_c2_g2_i15	meanfemale	4.754961556	FC1
TRINITY_DN135221_c0_g1_i1	meanfemale	2.413145097	FC1
TRINITY_DN122930_c0_g3_i10	meanfemale	3.53217582	FC1
TRINITY_DN123569_c2_g1_i3	meanfemale	4.694576694	FC1
TRINITY_DN131415_c2_g1_i2	meanfemale	2.935364599	FC1
TRINITY_DN136713_c11_g1_i2	meanfemale	3.282499346	FC1
TRINITY_DN180067_c0_g1_i1	meanfemale	1.24232018	FC1
TRINITY_DN124453_c0_g1_i4	meanfemale	3.290968474	FC1
TRINITY_DN128535_c0_g1_i1	meanfemale	0.909509165	FC1
TRINITY_DN133854_c3_g1_i2	meanfemale	3.091919126	FC1
TRINITY_DN101356_c0_g1_i1	meanfemale	2.727675731	FC1
TRINITY_DN125622_c2_g6_i1	meanfemale	2.180042441	FC1
TRINITY_DN129938_c0_g1_i3	meanfemale	4.048112918	FC1
TRINITY_DN136036_c1_g1_i1	meanfemale	3.832403958	FC1
TRINITY_DN124812_c0_g1_i2	meanfemale	3.951381655	FC1
TRINITY_DN116762_c0_g1_i1	meanfemale	5.421980387	FC1
TRINITY_DN129293_c1_g2_i1	meanfemale	5.371886403	FC1
TRINITY_DN126001_c0_g1_i1	meanfemale	5.31457747	FC1
TRINITY_DN133914_c2_g2_i4	meanfemale	0.799643045	FC1
TRINITY_DN114651_c0_g1_i3	meanfemale	4.367360893	FC1
TRINITY_DN136486_c0_g2_i1	meanfemale	3.95434235	FC1
TRINITY_DN116391_c0_g1_i1	meanfemale	4.250763841	FC1
TRINITY_DN131067_c2_g1_i4	meanfemale	2.522654675	FC1
TRINITY_DN3617_c0_g2_i1	meanfemale	2.769050868	FC1
TRINITY_DN119703_c0_g1_i2	meanfemale	5.295013166	FC1
TRINITY_DN127874_c5_g1_i1	meanfemale	3.258524024	FC1
TRINITY_DN33172_c0_g1_i1	meanfemale	1.50790535	FC1
TRINITY_DN123123_c2_g1_i6	meanfemale	3.583311225	FC1
TRINITY_DN135954_c9_g5_i1	meanfemale	2.748892502	FC1
TRINITY_DN131960_c0_g1_i1	meanfemale	0.275172174	FC1
TRINITY_DN132633_c0_g1_i3	meanfemale	4.248566066	FC1
TRINITY_DN135691_c0_g3_i2	meanfemale	4.789252758	FC1
TRINITY_DN126931_c0_g3_i1	meanfemale	1.699591472	FC1
TRINITY_DN131405_c4_g1_i2	meanfemale	3.563307147	FC1
TRINITY_DN128408_c3_g7_i3	meanfemale	5.411141661	FC1
TRINITY_DN124749_c0_g1_i1	meanfemale	4.646468127	FC1
TRINITY_DN129378_c1_g1_i1	meanfemale	-0.188364292	FC1
TRINITY_DN130848_c0_g1_i4	meanfemale	4.101724822	FC1
TRINITY_DN122578_c0_g1_i3	meanfemale	3.108213272	FC1
TRINITY_DN128314_c2_g1_i3	meanfemale	4.201150302	FC1
TRINITY_DN125269_c2_g1_i2	meanfemale	2.446062086	FC1
TRINITY_DN125487_c0_g2_i2	meanfemale	3.065979907	FC1
TRINITY_DN117667_c0_g2_i2	meanfemale	3.469853108	FC1
TRINITY_DN107704_c0_g1_i1	meanfemale	4.413408322	FC1
TRINITY_DN103834_c0_g4_i1	meanfemale	2.619182827	FC1
TRINITY_DN117404_c0_g1_i1	meanfemale	6.136272495	FC1
TRINITY_DN123034_c0_g1_i1	meanfemale	3.820945761	FC1
TRINITY_DN123043_c0_g1_i1	meanfemale	2.805724782	FC1
TRINITY_DN132855_c1_g4_i1	meanfemale	2.610898037	FC1
TRINITY_DN128274_c4_g1_i4	meanfemale	4.180538333	FC1
TRINITY_DN122897_c0_g1_i1	meanfemale	3.482451892	FC1
TRINITY_DN131166_c2_g1_i3	meanfemale	1.638326184	FC1
TRINITY_DN134642_c6_g4_i1	meanfemale	5.956904971	FC1
TRINITY_DN135200_c0_g1_i4	meanfemale	5.131418039	FC1
TRINITY_DN124496_c0_g3_i4	meanfemale	2.668984536	FC1
TRINITY_DN130989_c0_g1_i2	meanfemale	0.144725036	FC1
TRINITY_DN124854_c0_g1_i5	meanfemale	2.356712084	FC1
TRINITY_DN136036_c1_g2_i2	meanfemale	-0.095494705	FC1
TRINITY_DN122708_c1_g6_i3	meanfemale	4.451006847	FC1
TRINITY_DN128015_c0_g6_i1	meanfemale	3.132791597	FC1
TRINITY_DN115261_c0_g1_i1	meanfemale	5.473260533	FC1
TRINITY_DN131163_c0_g1_i9	meanfemale	4.672357759	FC1
TRINITY_DN133844_c0_g1_i3	meanfemale	1.271460797	FC1
TRINITY_DN126429_c0_g1_i1	meanfemale	4.79508207	FC1
TRINITY_DN136525_c2_g5_i1	meanfemale	5.744887006	FC1
TRINITY_DN120751_c0_g1_i2	meanfemale	4.086903315	FC1
TRINITY_DN131451_c1_g1_i1	meanfemale	3.283374567	FC1
TRINITY_DN131718_c2_g1_i2	meanfemale	3.435900516	FC1
TRINITY_DN124913_c0_g1_i4	meanfemale	4.346986233	FC1
TRINITY_DN128182_c0_g2_i4	meanfemale	2.432392686	FC1
TRINITY_DN118139_c0_g1_i2	meanfemale	7.497744862	FC1
TRINITY_DN121062_c0_g1_i1	meanfemale	5.864241217	FC1
TRINITY_DN134966_c0_g2_i2	meanfemale	3.966934858	FC1
TRINITY_DN133652_c0_g3_i1	meanfemale	2.357318526	FC1
TRINITY_DN129170_c3_g6_i2	meanfemale	2.959111143	FC1
TRINITY_DN122439_c0_g1_i1	meanfemale	2.818116364	FC1
TRINITY_DN119249_c0_g1_i1	meanfemale	5.25110774	FC1
TRINITY_DN122094_c7_g1_i2	meanfemale	4.290644879	FC1
TRINITY_DN125718_c0_g3_i1	meanfemale	4.781384912	FC1
TRINITY_DN125076_c0_g1_i6	meanfemale	6.050146074	FC1
TRINITY_DN120545_c4_g1_i4	meanfemale	4.375913796	FC1
TRINITY_DN119604_c0_g1_i1	meanfemale	2.249150563	FC1
TRINITY_DN126540_c0_g1_i1	meanfemale	4.397945282	FC1
TRINITY_DN131203_c1_g3_i1	meanfemale	2.649383226	FC1
TRINITY_DN126499_c3_g4_i2	meanfemale	4.996916048	FC1
TRINITY_DN128154_c0_g1_i1	meanfemale	3.587355334	FC1
TRINITY_DN116845_c0_g1_i1	meanfemale	4.674921941	FC1
TRINITY_DN136158_c6_g3_i1	meanfemale	4.600337587	FC1
TRINITY_DN166265_c0_g1_i1	meanfemale	2.033097121	FC1
TRINITY_DN131741_c0_g1_i1	meanfemale	3.29302851	FC1
TRINITY_DN132367_c1_g1_i1	meanfemale	3.722200588	FC1
TRINITY_DN92907_c0_g1_i1	meanfemale	5.839625875	FC1
TRINITY_DN134566_c2_g1_i1	meanfemale	2.703877167	FC1
TRINITY_DN119032_c0_g1_i2	meanfemale	3.025048386	FC1
TRINITY_DN133308_c0_g1_i2	meanfemale	2.242354224	FC1
TRINITY_DN127437_c1_g1_i1	meanfemale	3.675694702	FC1
TRINITY_DN126963_c1_g4_i2	meanfemale	0.402451135	FC1
TRINITY_DN125710_c0_g2_i2	meanfemale	4.421622526	FC1
TRINITY_DN125018_c0_g1_i1	meanfemale	3.951207334	FC1
TRINITY_DN116340_c0_g1_i1	meanfemale	3.100541385	FC1
TRINITY_DN115646_c0_g1_i1	meanfemale	4.738746501	FC1
TRINITY_DN109704_c0_g1_i1	meanfemale	-0.542932584	FC1
TRINITY_DN132012_c5_g2_i1	meanfemale	4.523074973	FC1
TRINITY_DN164868_c0_g1_i1	meanfemale	5.308980537	FC1
TRINITY_DN102702_c0_g1_i1	meanfemale	6.283592978	FC1
TRINITY_DN130305_c0_g2_i1	meanfemale	3.034612131	FC1
TRINITY_DN111860_c0_g1_i1	meanfemale	4.635292822	FC1
TRINITY_DN110885_c0_g1_i1	meanfemale	3.983342203	FC1
TRINITY_DN108930_c0_g1_i3	meanfemale	2.256911427	FC1
TRINITY_DN126407_c4_g1_i1	meanfemale	4.880031893	FC1
TRINITY_DN135999_c2_g7_i2	meanfemale	4.543086343	FC1
TRINITY_DN117842_c0_g1_i2	meanfemale	-0.197374406	FC1
TRINITY_DN128690_c1_g3_i2	meanfemale	5.414983482	FC1
TRINITY_DN131116_c0_g1_i1	meanfemale	1.241920063	FC1
TRINITY_DN131008_c4_g2_i1	meanfemale	1.705443227	FC1
TRINITY_DN128913_c0_g2_i1	meanfemale	4.623392605	FC1
TRINITY_DN133690_c2_g1_i1	meanfemale	3.376949053	FC1
TRINITY_DN131558_c2_g1_i1	meanfemale	8.391239884	FC1
TRINITY_DN124764_c1_g1_i2	meanfemale	2.963124431	FC1
TRINITY_DN136015_c0_g2_i1	meanfemale	1.787715696	FC1
TRINITY_DN104550_c0_g2_i1	meanfemale	4.383659342	FC1
TRINITY_DN128023_c2_g1_i1	meanfemale	3.481190298	FC1
TRINITY_DN120824_c0_g1_i1	meanfemale	4.558707516	FC1
TRINITY_DN122073_c0_g2_i6	meanfemale	4.773905231	FC1
TRINITY_DN133422_c3_g2_i3	meanfemale	6.846381779	FC1
TRINITY_DN125578_c3_g4_i3	meanfemale	5.635720641	FC1
TRINITY_DN122940_c0_g4_i1	meanfemale	1.757071726	FC1
TRINITY_DN92751_c0_g1_i1	meanfemale	4.462078179	FC1
TRINITY_DN129105_c3_g1_i3	meanfemale	3.78747999	FC1
TRINITY_DN130187_c1_g1_i4	meanfemale	3.00436001	FC1
TRINITY_DN120805_c0_g1_i3	meanfemale	2.652950129	FC1
TRINITY_DN121021_c0_g3_i1	meanfemale	4.115593963	FC1
TRINITY_DN110356_c0_g1_i1	meanfemale	7.360586881	FC1
TRINITY_DN125554_c0_g2_i1	meanfemale	3.011473058	FC1
TRINITY_DN120176_c0_g1_i1	meanfemale	5.062781523	FC1
TRINITY_DN132561_c0_g1_i4	meanfemale	2.274842157	FC1
TRINITY_DN131766_c7_g1_i1	meanfemale	1.7568459	FC1
TRINITY_DN112953_c0_g1_i2	meanfemale	4.177833569	FC1
TRINITY_DN132102_c3_g1_i4	meanfemale	3.325835712	FC1
TRINITY_DN129581_c0_g1_i5	meanfemale	4.299559759	FC1
TRINITY_DN136144_c9_g5_i1	meanfemale	0.709101463	FC1
TRINITY_DN122225_c0_g1_i5	meanfemale	4.784165849	FC1
TRINITY_DN123708_c4_g1_i1	meanfemale	5.511193607	FC1
TRINITY_DN219526_c0_g1_i1	meanfemale	3.566538929	FC1
TRINITY_DN132854_c0_g2_i2	meanfemale	0.288087084	FC1
TRINITY_DN114588_c0_g1_i1	meanfemale	4.694744422	FC1
TRINITY_DN124802_c6_g1_i2	meanfemale	7.508838303	FC1
TRINITY_DN209501_c0_g1_i1	meanfemale	8.557794762	FC1
TRINITY_DN123557_c0_g2_i1	meanfemale	2.390459707	FC1
TRINITY_DN121012_c0_g1_i2	meanfemale	4.161598007	FC1
TRINITY_DN131321_c1_g1_i1	meanfemale	0.834132631	FC1
TRINITY_DN136052_c0_g1_i3	meanfemale	3.327862927	FC1
TRINITY_DN132917_c3_g1_i2	meanfemale	4.932072791	FC1
TRINITY_DN123029_c0_g2_i2	meanfemale	3.386054283	FC1
TRINITY_DN121815_c5_g2_i6	meanfemale	6.096310321	FC1
TRINITY_DN124511_c0_g1_i1	meanfemale	7.330067007	FC1
TRINITY_DN127499_c0_g1_i1	meanfemale	0.420393434	FC1
